DECATHLETE PLACEMENTS                       100       LJ        SP        HJ        400       110H      DT        PV        JT        1500
Edgars                                      DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Trey                                        DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Damian                                      DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Oleksiy                                     DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Rico                                        DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Luiz_Alberto                                DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Daniel                                      DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Eduard                                      DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Sergey                                      DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Yordani                                     DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Eelco                                       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Jangy                                       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Mihail                                      DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Dmitriy                                     DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Darius                                      DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Ashton                                      DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Ingmar                                      DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Ilya                                        DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Hans                                        DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Pascal                                      DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Willem                                      DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Brent                                       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Kurt                                        DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Attila                                      DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Gonzalo                                     DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Leonel                                      DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Keisuke                                     DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Kevin                                       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Rifat                                       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Jan_Felix                                   DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
Roman                                       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       DNF       
