DECATHLETE POINTS                           100       LJ        SP        HJ        400       110H      DT        PV        JT        1500      TOTAL
Edgars                                      0         0         0         0         0         0         0         0         0         0         0
Trey                                        0         0         0         0         0         0         0         0         0         0         0
Damian                                      0         0         0         0         0         0         0         0         0         0         0
Oleksiy                                     0         0         0         0         0         0         0         0         0         0         0
Rico                                        0         0         0         0         0         0         0         0         0         0         0
Luiz_Alberto                                0         0         0         0         0         0         0         0         0         0         0
Daniel                                      0         0         0         0         0         0         0         0         0         0         0
Eduard                                      0         0         0         0         0         0         0         0         0         0         0
Sergey                                      0         0         0         0         0         0         0         0         0         0         0
Yordani                                     0         0         0         0         0         0         0         0         0         0         0
Eelco                                       0         0         0         0         0         0         0         0         0         0         0
Jangy                                       0         0         0         0         0         0         0         0         0         0         0
Mihail                                      0         0         0         0         0         0         0         0         0         0         0
Dmitriy                                     0         0         0         0         0         0         0         0         0         0         0
Darius                                      0         0         0         0         0         0         0         0         0         0         0
Ashton                                      0         0         0         0         0         0         0         0         0         0         0
Ingmar                                      0         0         0         0         0         0         0         0         0         0         0
Ilya                                        0         0         0         0         0         0         0         0         0         0         0
Hans                                        0         0         0         0         0         0         0         0         0         0         0
Pascal                                      0         0         0         0         0         0         0         0         0         0         0
Willem                                      0         0         0         0         0         0         0         0         0         0         0
Brent                                       0         0         0         0         0         0         0         0         0         0         0
Kurt                                        0         0         0         0         0         0         0         0         0         0         0
Attila                                      0         0         0         0         0         0         0         0         0         0         0
Gonzalo                                     0         0         0         0         0         0         0         0         0         0         0
Leonel                                      0         0         0         0         0         0         0         0         0         0         0
Keisuke                                     0         0         0         0         0         0         0         0         0         0         0
Kevin                                       0         0         0         0         0         0         0         0         0         0         0
Rifat                                       0         0         0         0         0         0         0         0         0         0         0
Jan_Felix                                   0         0         0         0         0         0         0         0         0         0         0
Roman                                       0         0         0         0         0         0         0         0         0         0         0
